IDseq ;FeedingStrategy;Wing;Biogeography;BodyLength;Soil;EcologicalTolerance;BreedingSeason;FeedNote;BiogeographyDesc
RNFCAR_LCO_HCO_01;Omnivorous;Dimorphic;EUM ;Big;Mesophilous;Euryecious;Fall;Larva carnivorous, imago herbivorous;European–Mediterranean
RNFCAR_LCO_HCO_02;Omnivorous;Dimorphic;EUM ;Big;Mesophilous;Euryecious;Fall;Larva carnivorous, imago herbivorous;European–Mediterranean
RNFCAR_LCO_HCO_03;Omnivorous;Dimorphic;EUM ;Big;Mesophilous;Euryecious;Fall;Larva carnivorous, imago herbivorous;European–Mediterranean
RNFCAR_LCO_HCO_04;Carnivorous;Brachypterous;EUR ;Big;Mesophilous;Euryecious;Fall;;European
RNFCAR_LCO_HCO_05;Carnivorous;Brachypterous;EUR ;Big;Mesophilous;Euryecious;Fall;;European
RNFCAR_LCO_HCO_06;Carnivorous;Brachypterous;EUR ;Big;Mesophilous;Euryecious;Fall;;European
RNFCAR_LCO_HCO_07;Herbivorous;Macropterous;EUR ;Big;Xerophilous;Euryecious;Spring;Seeds;European
RNFCAR_LCO_HCO_08;Herbivorous;Macropterous;EUR ;Big;Xerophilous;Euryecious;Spring;Seeds;European
RNFCAR_LCO_HCO_09;Herbivorous;Macropterous;EUR ;Big;Xerophilous;Euryecious;Spring;Seeds;European
RNFCAR_LCO_10;Herbivorous;Macropterous;PAL ;Medium;Xerophilous;Euryecious;Spring;Seeds, rarely seen feeding on snail eggs;Palaearctic
RNFCAR_LCO_HCO_11;Herbivorous;Macropterous;PAL ;Medium;Xerophilous;Euryecious;Spring;Seeds, rarely seen feeding on snail eggs;Palaearctic
RNFCAR_LCO_HCO_12;Herbivorous;Macropterous;PAL ;Medium;Xerophilous;Euryecious;Spring;Seeds, rarely seen feeding on snail eggs;Palaearctic
RNFCAR_LCO_HCO_13;Carnivorous;Brachypterous;EUR ;Big;Mesophilous;Euryecious;Spring-Fall;;European
RNFCAR_HCO_14;Carnivorous;Brachypterous;EUR ;Big;Mesophilous;Euryecious;Spring-Fall;;European
RNFCAR_HCO_15;Carnivorous;Brachypterous;EUR ;Big;Mesophilous;Euryecious;Spring-Fall;;European
RNFCAR_LCO_HCO_16;Carnivorous;Brachypterous;SIE ;Big;Xerophilous;Euryecious;Spring;Likely - Data incomplete;Siberian–European
RNFCAR_LCO_HCO_18;Carnivorous;Brachypterous;SIE ;Big;Xerophilous;Euryecious;Spring;Likely - Data incomplete;Siberian–European
